,Pid,Name,ShortDescription,Description,CategoryId,Category,ImageURL,Dudedeals Category (Dudedeals Classification),Price,PriceCurrency,SalePrice,FinalPrice,IsInStock,Keywords,Brand,Manufacturer,MPN,UPCorEAN,SKU,Color,Gender,Size,Condition,DeepLinkURL,LinkUrl
94142,158408.2.9AE78DB111168155.66B9D3DE8514FA48.888663550830,Mountain Hardwear Men's Stryder  Convertible Pant-,,"When pack space is limited and conditions are changing on week-long trail outings, or you just want to lighten your load on far-flung travels, our light, quick-drying, and incredibly versatile Convertible Pant pulls double duty and lightens your impact with 100% recycled fabric.",1604,Apparel & Accessories > Clothing,http://columbia.scene7.com/is/image/ColumbiaSportswear2/1923951_253_f,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Casual Pants;,90,USD,62.98,62.98,TRUE,,Mountain Hardwear,Mountain Hardwear,192395125338,888663550830,888663550830,Brown,unisex,38,new,https://www.mountainhardwear.com/p/mens-stryder-convertible-pant-1923951_S.html?dwvar_1923951__S_color=253&dwvar_1923951__S_size=38&dwvar_1923951__S_dimension=R&mid=affiliate&eid=cj&uid=%25za&nid=%25zp&utm_medium=affiliate,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.158408.2.9AE78DB111168155.66B9D3DE8514FA48.888663550830
14240,185857.156052.20C5.1A6AE854DD89929D.4456893,"Under Armour Men's Playoff 2.0 Golf Polo Shirt, Polyester/Elastane in Black/Steel, Size XL",,"The Under Armour Playoff 2.0 Golf Polo Shirt features 4-way stretch fabric for unbelievable comfort and zero restriction during your golf swing. The Playoff 2.0 wicks away moisture to keep you dry and blocks the sun's harmful UV rays to protect your skin on the course. Under Armour Playoff 2.0 Golf Polo Shirt Features: Loose: Fuller cut for complete comfort Soft fabric is extremely breathable & lightweight Quick-drying 4-way stretch fabric provides full range of motion Wicks away sweat to keep you dry Anti-odor technology inhibits odor UPF 30 Sun protection Self-fabric collar Updated performance fit Heat seal logo 95% Polyester  5% Elastane Style Number: 1327037 Authorized Under Armour Retailer Buy Under Armour Playoff 2.0 Golf Polo | Under Armour Men's Playoff 2.0 Golf Polo Shirt, Polyester/Elastane in Black/Steel, Size XL",212,Apparel & Accessories > Clothing > Shirts & Tops,https://www.carlsgolfland.com/media/catalog/product/u/n/under_armour_playoff_2_0_polo_1327037_050_hero.jpg,Sports;Sports/Golf;Sports/Golf/Golf Clothing;,59.99,USD,49.99,49.99,TRUE,,Under Armour,Under Armour,4456893,,4456893,Black/Steel,,XL,New,https://www.carlsgolfland.com/under-armour-playoff-2-0-golf-polo-shirt?product=205375,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185857.156052.20C5.1A6AE854DD89929D.4456893
26408,160704.156074.7F09681D42B6E4A8.265435E68206AFBE.100041417,Magpul Brenten Cvc T-Shirts - Brenten Cvc T-Shirt Small White,,"Cue the music and the boats... Features   4.3 oz, 60% combed ring-spun cotton / 40% polyester   Crew neck with set-in sleeves   Comfortable, tag-less interior neck label   Shoulder to shoulder neck tape   Double-needle stitching on hems and sleeves for durability   Printed in the USA Mfg: Magpul",5942,Apparel & Accessories > Clothing Accessories > Arm Warmers & Sleeves,https://www.brownells.com/userdocs/Products/p_100-041-411_1.jpg,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;,26.55,,14.99,14.99,TRUE,,,Magpul,MAG1134-100-S,840815126355,100041417,,,,New,https://www.brownells.com/shooting-accessories/apparel/mens/short-sleeves/brenten-cvc-t-shirt-small-white-sku100041417-134120-246048.aspx,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.160704.156074.7F09681D42B6E4A8.265435E68206AFBE.100041417
5693,185857.156052.20C5.731F4A4ABE0D1E5.4355045,PING G425 Sft Fairway Woods in Black | Left,,"html-body [data-pb-style=IB90BG1]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;border-style:none;border-width:1px;border-radius:0;margin:0 0 10px;padding:10px}html-body [data-pb-style=XSGY84K]{border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}html-body [data-pb-style=HKGBA4D]{text-align:center;margin:0;padding:0;border-style:none}html-body [data-pb-style=L29RPI3],html-body [data-pb-style=UWRGGD7]{border-style:none;border-width:1px;border-radius:0;max-width:100%;height:auto}html-body [data-pb-style=U90IKWI]{border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}@media only screen and (max-width: 768px) { html-body [data-pb-style=HKGBA4D]{border-style:none} }PING G425 Fairway Woods are available in three models to fit all golfers and their desired ball flight: MAX (high MOI), LST (low spin), and SFT (draw bias). The fairways feature two key innovations known as Facewrap Technology and Spinsistency to deliver more distance and spin predictability. Just as it sounds, Facewrap refers to the G425's face design that extends up and into the crown, as well as into the sole. This unique design works in harmony with the thin, high-strength steel maraging face to provide increased flexing, resulting in greater distance and high launching shots. The most common miss-hit for fairway woods is low on the face, which dramatically increases spin and kills distance potential. In order to combat this problem, PING developed Spinsistency. Spinsistency consists of a complex face curvature that modifies the roll profile, mainly low on the face, where the loft decreases approximately 2.5 to normalize spin and increase ball speed. During PING's testing, human and robots alike displayed greatly improved distance, specifically on shots struck low on the face. With 5 stock shafts available, golfers of all skill levels can find a profi",1046,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,https://www.carlsgolfland.com/media/catalog/product/p/i/ping_g425_sft_fairway_woods_hero.jpg,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;",337,USD,247,247,TRUE,,PING,PING,4355045,,4355045,Black,,,New,https://www.carlsgolfland.com/ping-g425-sft-fairway-woods?product=96618,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185857.156052.20C5.731F4A4ABE0D1E5.4355045
20740,185820.156074.2CC37263ACDC24EF.D3A8743C9A8EBE07.134946184,Coleman 50 in x 60 in Green Quilted Ultra Velvet Throw Blanket - Blankets And Pillows at Academy Sports,,The Coleman 50 in x 60 in Green Quilted Ultra Velvet Throw Blanket features an eye-catching design and 100% polyester construction. Coleman 50 in x 60 in Green Quilted Ultra Velvet Throw Blanket - Blankets And Pillows at Academy Sports,4211,Health & Beauty > Personal Care > Sleeping Aids > Travel Pillows,https://academy.scene7.com/is/image/academy/20941125?wid=800&hei=800,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Sleeping Gear;",29.99,,19.97,19.97,TRUE,,,Coleman,CMTH1-038A,196789000697,134946184,Green,,,New,https://www.academy.com/p/coleman-50-in-x-60-in-quilted-ultra-velvet-throw?sku=green,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.D3A8743C9A8EBE07.134946184
102438,213318.2.AB88E2261667EF7F.F8F80D89170F061F.194578024503,"PUMA Jackpot Golf Pants 14032778- High Rise 34"" 33""",,"PUMA Jackpot Golf Pants The Jackpot pants are the best we've ever made and we've named them accordingly. When you wear them, you'll know you hit the jackpot. RELAXED Jackpot Fit: Performance fit, relaxed at the hip with straight leg. SPECIFICATIONS  100% polyester Woven Moisture wicking finish UV Resistant 50+ UPF Stretch Waistband Double Belt loops Slash Pockets Enjoy Golf Blue detailing inside zipper Duraweave Pocket bags (tee proof) Silicon branding Inseam 30, 32, 34 Waist 28-40, 33",1043,Sporting Goods > Outdoor Recreation > Golf,https://worldwidegolf.vteximg.com.br/arquivos/ids/9552585_2,Sports;Sports/Golf;Sports/Golf/Golf Clothing;,84.99,USD,62.99,62.99,TRUE,,Puma,Puma,194578024503,194578024503,194578024503,high rise,,33 W,new,http://tracking.searchmarketing.com/click.asp?aid=520008760000950916,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.213318.2.AB88E2261667EF7F.F8F80D89170F061F.194578024503
21559,185820.156074.2CC37263ACDC24EF.8E360B93140CD68.123521711,"Columbia Sportswear Men's Hart Mountain II 1/2 Zip Jacket Red Jasper, Small - Men's Athletic Jackets at Academy Sports",,"The Columbia Sportswear™ Men's Hart Mountain™ II 1/2 Zip Jacket is made of cotton and polyester and features a raised collar. Columbia Sportswear Men's Hart Mountain II 1/2 Zip Jacket Red Jasper, Small - Men's Athletic Jackets at Academy Sports",5598,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,https://academy.scene7.com/is/image/academy/20470830?wid=800&hei=800,Clothing;Clothing/Jackets & Coats;,65,,44.99,44.99,TRUE,,,Columbia Sportswear,1411621665,193855295957,123521711,Red Jasper,,,New,https://www.academy.com/p/columbia-sportswear-mens-hart-mountain-ii-1-2-zip-jacket?sku=red-jasper-small,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.8E360B93140CD68.123521711
62854,163572.156074.BE8E64811E10C72A.A8871769A1D2DF53.6607774,Obermeyer Men's Orion Pant,,"The Obermeyer Men's Orion Pant is a ski pant for lower half protection while taking on the mountain aBoard two planks. The waterproof and breathable pant is made with HydroBlock Sport with Full-Motion articulation, keeping you dry while maintaining movement through the hips and knees. They've also been reinforced at High-wear Areas plus feature scuffguards at the interior cuffs to prevent abrasion through the season. Bolstered with 40g of Insulation, you'll be confident in the cold. Features of the Obermeyer Men's Orion Pant YKK zippers CZV - Control Zone Ventilation Mesh gussets Skier Critical seam sealing Full-Motion articulation Adjustable waist Contoured, High back waistband Hem gussets Water-resistant powder cuffs with gripper elastic Zipper hand pockets THigh pockets Reinforced knees Reinforced seat Reinforced hems Reinforced scuffguards Fabric Details HydroBlock Sport 100% Polyester Insulation 40gm",5514,Apparel & Accessories > Clothing > Outerwear > Rain Pants,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10530998x1015692_zm?$product1000$,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;,188.95,,122.99,122.99,TRUE,,,Obermeyer,25007,888555515381,6607774,Mars Red,male,XL Regular,New,https://www.moosejaw.com/product/obermeyer-men-s-orion-pant_10530998,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.A8871769A1D2DF53.6607774
84548,163572.156074.BE8E64811E10C72A.A36AA85D29CE282.7562372,Roark Men's Axeman Jacket - XL - Black,,Features of the Roark Men's Axeman Jacket 100% Organic Cotton,5598,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10584411x1012905_zm?$product1000$,Clothing;Clothing/Jackets & Coats;,168.95,,126.99,126.99,TRUE,,,Roark,RJ261,193313135146,7562372,Black,male,XL,New,https://www.moosejaw.com/product/roark-men-s-axeman-jacket_10584411,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.A36AA85D29CE282.7562372
26856,160704.156074.7F09681D42B6E4A8.65272402084D920A.100040747,Leupold Dual Dovetail Base & Ring Sets - Winchester 70 Rvr 2-Pc Base/30mm Medium Rings Matte,,"CNC machined to exacting tolerances, provide rock solid scope mounting. Reversible and long rear bases make it easy to use standard rings to mount scopes, from extra long varmint and target models to small compacts on any length action. Mfg: Leupold",5067,Mature > Weapons > Gun Care & Accessories > Gun Lights,https://www.brownells.com/userdocs/products/fake_thumb_large.gif,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;",65.99,,41.29,41.29,TRUE,,,Leupold,178558,30317024864,100040747,,,,New,https://www.brownells.com/optics-mounting/rings-mounts-amp-bases/mount-sets/winchester-70-rvr-2-pc-base-30mm-medium-rings-matte-sku100040747-135060-247098.aspx,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.160704.156074.7F09681D42B6E4A8.65272402084D920A.100040747
