Name,Category,Desired Category
Mountain Hardwear Men's Stryder  Convertible Pant-,Apparel & Accessories > Clothing,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Casual Pants;
"Under Armour Men's Playoff 2.0 Golf Polo Shirt, Polyester/Elastane in Black/Steel, Size XL",Apparel & Accessories > Clothing > Shirts & Tops,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Magpul Brenten Cvc T-Shirts - Brenten Cvc T-Shirt Small White,Apparel & Accessories > Clothing Accessories > Arm Warmers & Sleeves,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
PING G425 Sft Fairway Woods in Black | Left,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;"
Coleman 50 in x 60 in Green Quilted Ultra Velvet Throw Blanket - Blankets And Pillows at Academy Sports,Health & Beauty > Personal Care > Sleeping Aids > Travel Pillows,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Sleeping Gear;"
"PUMA Jackpot Golf Pants 14032778- High Rise 34"" 33""",Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
"Columbia Sportswear Men's Hart Mountain II 1/2 Zip Jacket Red Jasper, Small - Men's Athletic Jackets at Academy Sports",Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
Obermeyer Men's Orion Pant,Apparel & Accessories > Clothing > Outerwear > Rain Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;
Roark Men's Axeman Jacket - XL - Black,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
Leupold Dual Dovetail Base & Ring Sets - Winchester 70 Rvr 2-Pc Base/30mm Medium Rings Matte,Mature > Weapons > Gun Care & Accessories > Gun Lights,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;"
"adidas Men's Feel Cozy Pullover Hoodie Black, Medium - Men's Athletic Fleece at Academy Sports",Apparel & Accessories > Clothing > Outerwear,Clothing;Clothing/Hoodies & Sweatshirts;
Deuter Lake Placid Backpack,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Camping Backpacks;"
"Hanes Men's Ultimate X-Temp Sport V-Neck Undershirts, 4-Pack",Apparel & Accessories,Clothing;Clothing/Underwear & Sleepwear;
Petzl Tandem Cable Pulley,Sporting Goods,Climbing;Climbing/Climbing Essentials;
"5.11 Tactical Men's Alliance Pant (Battle Brown), Size 32/36",Apparel & Accessories > Clothing > Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;
Mustad 94840 4-20 Dry Fly Hook - 4,Sporting Goods > Outdoor Recreation > Fishing,Fishing;Fishing/Terminal Tackle;
"Nike Men's Air Jordan Adg 4 Golf Shoes in Black/Cement Grey/Metallic Silver, Size 11.5 Men's / 13 Womens",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Icebreaker Men's Drayden SS Polo - Large - Praline,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
FootJoy Coastal Flex Spikeless Golf Shoes 16003564- 8.5 X-Wide,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
"Wolverine Men's I-90 Sherpa Lined Jacket Navy Blue, 2X-Large - Men's Work Jackets at Academy Sports",Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
Simms Trout Outline T-Shirt - Oil Blue Heather - Medium,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
The North Face Printed Wander T-Shirt,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
